83	28.62	40.16	43.27	30.00	33.97	43.55	35.70	26.09
84	28.75	40.32	43.43	30.13	34.16	43.72	35.87	26.11
85	28.88	40.47	43.58	30.26	34.36	43.89	36.06	26.12
86	29.00	40.62	43.74	30.39	34.55	44.07	36.24	26.13
87	29.13	40.76	43.90	30.52	34.74	44.24	36.42	26.14
88	29.25	40.91	44.04	30.65	34.93	44.41	36.59	26.15
89	29.39	41.06	44.19	30.78	35.12	44.58	36.77	26.17
90	29.51	41.19	44.33	30.90	35.31	44.74	36.95	26.18
91	29.63	41.33	44.47	31.03	35.50	44.91	37.12	26.19
92	29.75	41.47	44.62	31.16	35.69	45.07	37.29	26.21
93	29.88	41.61	44.77	31.29	35.87	45.23	37.46	26.22
94	30.00	41.74	44.90	31.42	36.06	45.39	37.63	26.23
95	30.13	41.88	45.03	31.55	36.25	45.55	37.79	26.25
96	30.25	42.01	45.17	31.67	36.43	45.71	37.96	26.26
97	30.38	42.14	45.29	31.79	36.61	45.87	38.13	26.28
98	30.50	42.27	45.43	31.92	36.79	46.02	38.30	26.30
99	30.62	42.40	45.56	32.05	36.97	46.16	38.45	26.31
100	30.75	42.52	45.68	32.17	37.14	46.32	38.62	26.33
101	30.86	42.64	45.81	32.29	37.33	46.47	38.78	26.35
102	30.99	42.77	45.93	32.41	37.51	46.62	38.93	26.37
103	31.11	42.89	46.05	32.54	37.68	46.76	39.09	26.39
104	31.22	43.01	46.17	32.66	37.85	46.90	39.25	26.40
105	31.35	43.13	46.29	32.78	38.02	47.05	39.39	26.42
106	31.47	43.25	46.41	32.90	38.19	47.19	39.55	26.44
107	31.59	43.37	46.52	33.02	38.36	47.33	39.69	26.46
108	31.71	43.48	46.64	33.14	38.53	47.47	39.84	26.47
109	31.83	43.60	46.75	33.25	38.70	47.62	39.98	26.50
110	31.94	43.71	46.86	33.38	38.87	47.75	40.12	26.51
111	32.06	43.82	46.97	33.49	39.03	47.89	40.27	26.53
112	32.18	43.93	47.07	33.62	39.20	48.03	40.41	26.55
113	32.30	44.04	47.18	33.73	39.36	48.15	40.55	26.57
114	32.41	44.15	47.29	33.84	39.53	48.29	40.69	26.59
115	32.53	44.26	47.39	33.96	39.68	48.42	40.82	26.62
116	32.65	44.37	47.49	34.08	39.85	48.55	40.96	26.63
117	32.76	44.47	47.59	34.19	40.01	48.68	41.09	26.67
118	32.87	44.57	47.69	34.30	40.17	48.81	41.23	26.68
119	32.99	44.67	47.79	34.42	40.32	48.94	41.36	26.71
120	33.10	44.78	47.89	34.53	40.48	49.07	41.50	26.73
121	33.22	44.88	47.98	34.64	40.63	49.19	41.62	26.76
122	33.33	44.98	48.07	34.75	40.79	49.31	41.75	26.78
123	33.45	45.08	48.17	34.86	40.95	49.43	41.87	26.80
124	33.56	45.18	48.26	34.97	41.10	49.55	42.00	26.83
125	33.67	45.27	48.36	35.08	41.24	49.67	42.13	26.85
126	33.79	45.37	48.45	35.19	41.39	49.79	42.25	26.87
127	33.90	45.47	48.54	35.30	41.55	49.91	42.38	26.91
128	34.01	45.56	48.63	35.41	41.70	50.03	42.50	26.93
129	34.12	45.66	48.72	35.52	41.84	50.14	42.61	26.96
130	34.22	45.75	48.80	35.62	41.99	50.26	42.73	26.98
131	34.33	45.84	48.89	35.73	42.13	50.38	42.85	27.01
132	34.44	45.94	48.97	35.83	42.28	50.49	42.97	27.04
133	34.56	46.02	49.05	35.94	42.42	50.61	43.08	27.07
134	34.66	46.11	49.13	36.04	42.57	50.73	43.20	27.10
135	34.77	46.21	49.22	36.14	42.70	50.84	43.30	27.12
136	34.88	46.30	49.30	36.24	42.84	50.95	43.42	27.15
137	34.98	46.38	49.37	36.34	42.99	51.07	43.53	27.17
138	35.09	46.47	49.46	36.45	43.12	51.17	43.64	27.20
139	35.20	46.56	49.54	36.55	43.26	51.28	43.75	27.23
140	35.30	46.64	49.61	36.65	43.40	51.39	43.86	27.26
141	35.40	46.73	49.69	36.76	43.53	51.49	43.96	27.29
142	35.51	46.82	49.76	36.85	43.66	51.59	44.07	27.32
143	35.61	46.89	49.83	36.95	43.80	51.70	44.17	27.35
144	35.71	46.98	49.91	37.04	43.93	51.80	44.27	27.37
145	35.82	47.06	49.99	37.14	44.06	51.90	44.37	27.40
146	35.92	47.14	50.05	37.24	44.19	52.01	44.48	27.44
147	36.02	47.22	50.13	37.33	44.33	52.11	44.58	27.47
148	36.13	47.30	50.21	37.43	44.45	52.21	44.67	27.49
149	36.23	47.38	50.28	37.53	44.58	52.31	44.78	27.52
150	36.32	47.46	50.35	37.62	44.71	52.41	44.88	27.56
151	36.43	47.54	50.43	37.72	44.83	52.51	44.97	27.59
152	36.53	47.62	50.50	37.82	44.96	52.61	45.07	27.62
153	36.62	47.70	50.57	37.91	45.09	52.70	45.17	27.65
154	36.73	47.77	50.63	38.00	45.21	52.80	45.26	27.68
155	36.82	47.85	50.70	38.09	45.33	52.90	45.35	27.71
156	36.92	47.93	50.75	38.18	45.44	52.98	45.43	27.74
157	37.02	48.00	50.82	38.26	45.55	53.07	45.52	27.77
158	37.10	48.07	50.88	38.35	45.65	53.14	45.60	27.80
159	37.19	48.13	50.94	38.44	45.75	53.22	45.69	27.83
160	37.29	48.20	51.00	38.53	45.85	53.29	45.78	27.86
161	37.37	48.27	51.07	38.61	45.95	53.37	45.86	27.89
162	37.46	48.33	51.12	38.70	46.05	53.45	45.94	27.92
163	37.55	48.40	51.19	38.78	46.15	53.53	46.02	27.95
164	37.64	48.47	51.25	38.87	46.25	53.61	46.10	27.99
165	37.74	48.54	51.31	38.95	46.35	53.69	46.18	28.02
166	37.82	48.61	51.37	39.04	46.45	53.77	46.26	28.04
167	37.92	48.67	51.43	39.12	46.56	53.84	46.34	28.08
168	38.00	48.74	51.50	39.20	46.66	53.93	46.42	28.11
169	38.10	48.81	51.55	39.28	46.76	54.00	46.50	28.14
170	38.18	48.88	51.61	39.37	46.86	54.09	46.58	28.17
171	38.27	48.95	51.68	39.46	46.97	54.16	46.66	28.20
172	38.37	49.02	51.73	39.54	47.07	54.24	46.74	28.24
173	38.45	49.09	51.79	39.62	47.18	54.32	46.82	28.26
174	38.55	49.15	51.85	39.70	47.27	54.40	46.89	28.30
175	38.63	49.22	51.91	39.79	47.38	54.48	46.97	28.33
176	38.73	49.29	51.97	39.87	47.48	54.57	47.05	28.36
177	38.81	49.36	52.03	39.95	47.59	54.64	47.12	28.40
178	38.90	49.42	52.09	40.03	47.68	54.72	47.20	28.43
179	38.99	49.49	52.15	40.12	47.78	54.80	47.27	28.46
180	39.08	49.56	52.21	40.20	47.89	54.88	47.35	28.50
181	39.17	49.62	52.27	40.28	47.98	54.96	47.43	28.53
182	39.25	49.69	52.32	40.36	48.09	55.04	47.50	28.57
183	39.34	49.75	52.38	40.44	48.18	55.11	47.57	28.60
184	39.43	49.82	52.44	40.52	48.29	55.20	47.65	28.64
185	39.52	49.89	52.50	40.61	48.38	55.27	47.72	28.67
186	39.61	49.95	52.56	40.69	48.48	55.35	47.79	28.70
187	39.69	50.02	52.62	40.77	48.57	55.42	47.86	28.74
188	39.78	50.08	52.67	40.85	48.67	55.50	47.93	28.77
189	39.87	50.14	52.73	40.93	48.77	55.57	48.00	28.80
190	39.95	50.21	52.79	41.01	48.87	55.65	48.07	28.84
191	40.04	50.27	52.85	41.09	48.96	55.73	48.14	28.88
192	40.12	50.33	52.90	41.16	49.06	55.80	48.20	28.91
193	40.21	50.40	52.96	41.24	49.15	55.88	48.27	28.95
194	40.29	50.46	53.01	41.32	49.24	55.94	48.33	28.98
195	40.37	50.53	53.07	41.40	49.34	56.02	48.40	29.01
196	40.46	50.58	53.12	41.47	49.43	56.09	48.46	29.04
197	40.54	50.65	53.18	41.55	49.53	56.16	48.53	29.08
198	40.63	50.71	53.23	41.62	49.61	56.23	48.60	29.12
199	40.71	50.77	53.28	41.71	49.71	56.31	48.66	29.15
200	40.80	50.84	53.34	41.78	49.80	56.38	48.72	29.19
201	40.88	50.89	53.39	41.86	49.89	56.44	48.78	29.22
202	40.96	50.94	53.42	41.94	49.98	56.47	48.84	29.25
203	41.04	50.97	53.42	42.01	50.07	56.44	48.91	29.29
204	41.12	50.97	53.38	42.08	50.16	56.36	48.97	29.32
205	41.21	50.93	53.30	42.15	50.23	56.21	49.03	29.36
206	41.29	50.87	53.19	42.22	50.31	56.03	49.08	29.39
207	41.37	50.79	53.06	42.29	50.38	55.84	49.13	29.43
208	41.44	50.71	52.94	42.36	50.45	55.68	49.17	29.46
209	41.52	50.64	52.83	42.42	50.50	55.56	49.20	29.49
210	41.60	50.58	52.74	42.49	50.55	55.48	49.24	29.54
211	41.67	50.53	52.67	42.56	50.59	55.43	49.26	29.56
212	41.75	50.50	52.63	42.61	50.63	55.42	49.28	29.60
213	41.82	50.48	52.59	42.67	50.66	55.43	49.30	29.63
214	41.88	50.47	52.58	42.73	50.69	55.46	49.32	29.67
215	41.95	50.48	52.58	42.79	50.73	55.51	49.33	29.70
216	42.01	50.49	52.59	42.84	50.76	55.57	49.34	29.74
217	42.08	50.51	52.61	42.89	50.80	55.64	49.36	29.77
218	42.14	50.54	52.63	42.94	50.84	55.71	49.37	29.81
219	42.20	50.58	52.66	42.99	50.88	55.79	49.39	29.84
220	42.25	50.62	52.70	43.04	50.92	55.88	49.40	29.87
221	42.32	50.67	52.75	43.08	50.97	55.97	49.43	29.92
222	42.37	50.72	52.79	43.13	51.02	56.06	49.45	29.95
223	42.43	50.78	52.85	43.18	51.07	56.15	49.47	29.98
224	42.49	50.84	52.90	43.23	51.13	56.25	49.49	30.02
225	42.54	50.90	52.96	43.27	51.19	56.34	49.52	30.05
226	42.60	50.97	53.02	43.32	51.24	56.43	49.55	30.09
227	42.66	51.03	53.07	43.37	51.30	56.51	49.57	30.12
228	42.71	51.08	53.11	43.42	51.37	56.56	49.61	30.16
229	42.77	51.11	53.11	43.46	51.43	56.54	49.63	30.19
230	42.83	51.11	53.08	43.51	51.49	56.46	49.66	30.23
231	42.89	51.08	53.01	43.56	51.55	56.33	49.69	30.27
232	42.95	51.03	52.91	43.61	51.61	56.15	49.72	30.30
233	43.01	50.94	52.76	43.66	51.66	55.94	49.75	30.34
234	43.07	50.84	52.61	43.70	51.70	55.71	49.77	30.37
235	43.12	50.72	52.43	43.75	51.73	55.45	49.78	30.41
236	43.18	50.58	52.24	43.80	51.75	55.17	49.79	30.44
237	43.24	50.42	52.02	43.85	51.76	54.88	49.79	30.47
238	43.29	50.25	51.80	43.89	51.76	54.59	49.78	30.51
239	43.34	50.07	51.57	43.93	51.76	54.29	49.76	30.54
240	43.39	49.88	51.32	43.97	51.74	53.99	49.73	30.57
241	43.44	49.69	51.07	44.00	51.72	53.68	49.70	30.61
242	43.48	49.48	50.82	44.03	51.69	53.38	49.66	30.65
243	43.53	49.27	50.56	44.06	51.65	53.08	49.61	30.68
244	43.56	49.06	50.30	44.08	51.60	52.77	49.55	30.72
